Deceit
Parasitism
Disease
Corruption
Pain
Darkness
Decay/Entropy
Demoralize
Impurity/Contamination
Fear
Unscrupulous
Reduction
Amorality
Manipulation
Individualism
Dismantling
Sacrifice of Others
Self Sacrifice
Self-Absorbed
Ambition
Power
