uTechnology
uManipulation
uComplexity
uMemory
uTrickery
uControl
uMind/Thought
uArtifice
uBooks & Information
uMan-Made Items
uTelepathy
uIllusion
uAcademics
uSubtlety
uArtifacts
uPassivity
uCold (attitude)
uArtificial
uProgress
uCuriosity
uPerfection
