Construction/Technology
Manipulation
Complexity
Memory
Trickery
Control
Mind/Thought
Artifice
Books & Information
Man-Made Items
Telepathy
Illusion
Academics
Subtlety
Artifacts
Passivity
Cold (attitude)
Artificial
Progress
Curiosity
Perfection
