bDeceit
bParasitism
bDisease
bCorruption
bPain
bDarkness
bDecay/Entropy
bDemoralize
bImpurity/Contamination
bFear
bUnscrupulous
bReduction
bAmorality
bManipulation
bIndividualism
bDismantling
bSacrifice of Others
bSelf Sacrifice
bSelf-Absorbed
bAmbition
bPower
