Wisdom
Spiritualism
Instinct
Reality (in contrast to illusion)
Ancestry
Interdependence
The Past.
Nature (and natural things)
Animals
Growth
Community
Plants
Life
Tradition
Mysticism
Intuition
Stubborn
Fortitude
Heritage
Destiny
Acceptance
